params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 6, YX, 0.0, 0.377
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 7, XY, 0.0, 0.0
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 7, YX, 0.0, 0.712
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 8, XY, 0.0, 0.001
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 8, YX, 0.0, 0.071
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 9, XY, 0.001, 0.0
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 9, YX, 0.0, 0.508
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 0, XY, 0.722, 0.0
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 0, YX, 0.0, 0.991
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 1, XY, 0.647, 0.0
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 1, YX, 0.0, 0.521
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 2, XY, 0.519, 0.001
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 2, YX, 0.0, 0.466
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 3, XY, 0.215, 0.0
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 3, YX, 0.0, 0.376
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 4, XY, 0.977, 0.0
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 4, YX, 0.0, 0.944
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 5, XY, 0.8, 0.0
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 5, YX, 0.0, 0.831
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 6, XY, 0.782, 0.0
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 6, YX, 0.0, 0.253
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 7, XY, 0.987, 0.0
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 7, YX, 0.0, 0.655
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 8, XY, 0.379, 0.001
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 8, YX, 0.0, 0.431
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 9, XY, 0.799, 0.0
4, fisherz, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 9, YX, 0.0, 0.371
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 0, XY, 0.107, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 0, YX, 1.0, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 1, XY, 0.085, 0.001
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 1, YX, 1.0, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 2, XY, 0.104, 0.01
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 2, YX, 0.433, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 3, XY, 0.015, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 3, YX, 0.372, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 4, XY, 0.002, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 4, YX, 0.296, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 5, XY, 0.475, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 5, YX, 0.308, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 6, XY, 0.008, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 6, YX, 0.238, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 7, XY, 0.084, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 7, YX, 0.582, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 8, XY, 0.007, 0.001
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 8, YX, 0.383, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 9, XY, 0.13, 0.0
5, kci, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 9, YX, 0.41, 0.0
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 0, XY, 0.902, 0.0
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 0, YX, 1.0, 0.51
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 1, XY, 0.625, 0.001
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 1, YX, 1.0, 0.475
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 2, XY, 0.168, 0.01
5, fisherz, {}, id, 2, soft, additive, 0, 2, [None,1], 200, 2, YX, 0.433, 0.327
