params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, dag, X1, X2
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 100, 9, XY, 0.0, 0.004
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 100, 9, YX, 0.0, 0.368
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 0, XY, 0.0, 0.002
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 0, YX, 0.0, 0.052
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 1, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 1, YX, 0.0, 0.003
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 2, XY, 0.0, 0.001
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 2, YX, 0.0, 0.009
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 3, XY, 0.0, 0.001
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 3, YX, 0.0, 0.006
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 4, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 4, YX, 0.0, 0.142
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 5, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 5, YX, 0.0, 0.009
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 6, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 6, YX, 0.0, 0.03
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 7, XY, 0.0, 0.002
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 7, YX, 0.0, 0.068
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 8, XY, 0.0, 0.013
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 8, YX, 0.0, 0.068
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 9, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 9, YX, 0.0, 0.022
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 50, 0, XY, 0.039, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 50, 0, YX, 1.0, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 50, 1, XY, 0.396, 0.0
1, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,1], 50, 1, YX, 1.0, 0.0
