params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 2, YX, 0.433, 0.03
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 3, XY, 0.545, 0.1
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 3, YX, 0.372, 0.221
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 4, XY, 0.924, 0.057
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 4, YX, 0.296, 0.052
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 5, XY, 0.221, 0.059
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 5, YX, 0.308, 0.052
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 6, XY, 0.328, 0.0
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 6, YX, 0.238, 0.03
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 7, XY, 0.545, 0.003
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 7, YX, 0.582, 0.221
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 8, XY, 0.924, 0.473
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 8, YX, 0.383, 0.03
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 9, XY, 0.793, 0.014
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 9, YX, 0.41, 0.088
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 0, XY, 0.328, 0.0
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 0, YX, 0.0, 0.466
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 1, XY, 0.466, 0.0
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 1, YX, 0.0, 0.793
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 2, XY, 0.052, 0.001
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 2, YX, 0.0, 0.178
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 3, XY, 0.394, 0.0
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 3, YX, 0.0, 0.793
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 4, XY, 0.142, 0.0
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 4, YX, 0.0, 0.793
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 5, XY, 0.068, 0.0
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 5, YX, 0.0, 0.713
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 6, XY, 0.016, 0.0
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 6, YX, 0.0, 0.924
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 7, XY, 0.997, 0.0
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 7, YX, 0.0, 0.068
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 8, XY, 0.068, 0.001
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 8, YX, 0.0, 0.221
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 9, XY, 0.221, 0.0
4, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 9, YX, 0.0, 0.27
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 0, XY, 0.628, 0.0
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 0, YX, 0.0, 0.466
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 1, XY, 0.628, 0.0
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 1, YX, 0.0, 0.924
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 2, XY, 0.793, 0.001
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 2, YX, 0.0, 0.866
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 3, XY, 0.006, 0.0
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 3, YX, 0.0, 0.924
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 4, XY, 0.545, 0.0
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 4, YX, 0.0, 0.713
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 5, XY, 0.052, 0.0
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 5, YX, 0.0, 0.628
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 6, XY, 0.001, 0.0
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 6, YX, 0.0, 0.924
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 7, XY, 0.052, 0.0
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 7, YX, 0.0, 0.068
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 8, XY, 0.068, 0.001
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 8, YX, 0.0, 0.178
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 9, XY, 0.178, 0.0
4, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 2, [None,0], 200, 9, YX, 0.0, 0.545
