Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 37, 0.01, 0.0, 0.0, 0.574
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 38, 0.01, 0.0, 0.0, 0.376
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 39, 0.01, 0.0, 0.0, 0.436
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 0, 0.01, 0.0, 0.0, 0.782
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 1, 0.01, 0.0, 0.0, 0.99
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 2, 0.01, 0.0, 0.0, 0.079
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 3, 0.01, 0.0, 0.0, 0.921
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 4, 0.01, 0.0, 0.0, 0.158
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 5, 0.01, 0.0, 0.0, 0.584
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 6, 0.01, 0.0, 0.0, 0.525
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 7, 0.01, 0.0, 0.0, 0.842
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 8, 0.01, 0.0, 0.0, 0.554
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 9, 0.01, 0.0, 0.0, 0.554
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 10, 0.01, 0.0, 0.0, 0.663
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 11, 0.01, 0.0, 0.0, 0.05
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 12, 0.01, 0.0, 0.0, 0.693
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 13, 0.01, 0.0, 0.0, 0.921
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 14, 0.01, 0.0, 0.0, 0.129
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 15, 0.01, 0.0, 0.0, 0.277
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 16, 0.01, 0.0, 0.0, 0.455
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 17, 0.01, 0.0, 0.0, 0.98
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 300, 18, 0.01, 0.0, 0.0, 0.594
