Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 2, 0.01, 0.0, 0.0, 0.178
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 3, 0.089, 0.0, 0.0, 0.762
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 4, 0.05, 0.0, 0.0, 0.158
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 5, 0.139, 0.0, 0.0, 0.653
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 6, 0.01, 0.0, 0.0, 0.564
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 7, 0.02, 0.0, 0.0, 0.772
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 8, 0.01, 0.0, 0.0, 0.802
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 9, 0.119, 0.0, 0.0, 0.525
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 10, 0.03, 0.0, 0.0, 0.861
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 11, 0.03, 0.0, 0.0, 0.129
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 12, 0.01, 0.0, 0.0, 0.455
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 13, 0.059, 0.0, 0.0, 0.97
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 14, 0.02, 0.0, 0.0, 0.149
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 15, 0.059, 0.0, 0.0, 0.188
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 16, 0.02, 0.0, 0.0, 0.584
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 17, 0.079, 0.0, 0.0, 0.802
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 18, 0.04, 0.0, 0.0, 0.802
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 19, 0.01, 0.0, 0.0, 0.347
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 20, 0.02, 0.002, 0.0, 0.455
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 21, 0.01, 0.0, 0.0, 0.406
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 22, 0.01, 0.0, 0.0, 0.505
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 23, 0.089, 0.0, 0.0, 0.683
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 24, 0.05, 0.0, 0.0, 0.693
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 25, 0.01, 0.0, 0.0, 0.574
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 26, 0.01, 0.0, 0.0, 0.891
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 27, 0.01, 0.0, 0.0, 0.99
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 28, 0.01, 0.0, 0.0, 0.228
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 29, 0.089, 0.0, 0.0, 0.931
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 30, 0.01, 0.0, 0.0, 0.376
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 31, 0.01, 0.0, 0.0, 0.485
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 32, 0.059, 0.0, 0.0, 0.297
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 33, 0.01, 0.0, 0.0, 0.406
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 34, 0.069, 0.0, 0.0, 0.287
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 35, 0.01, 0.0, 0.0, 0.792
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 36, 0.05, 0.0, 0.0, 0.772
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 37, 0.02, 0.0, 0.0, 0.158
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 38, 0.01, 0.0, 0.0, 0.149
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 39, 0.01, 0.0, 0.0, 0.525
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 0, 0.307, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 1, 0.703, 0.001, 1.0, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 2, 0.208, 0.001, 0.367, 0.059
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 3, 0.703, 0.001, 0.024, 0.277
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 4, 0.317, 0.0, 1.0, 0.03
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 5, 0.04, 0.0, 0.396, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 6, 0.297, 0.003, 0.062, 0.059
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 7, 0.673, 0.0, 0.097, 0.158
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 8, 0.455, 0.001, 0.381, 0.129
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 9, 0.228, 0.044, 1.0, 0.05
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 10, 0.099, 0.006, 0.24, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 11, 0.416, 0.026, 0.235, 0.149
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 12, 0.059, 0.026, 0.022, 0.03
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 13, 0.238, 0.0, 0.643, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 14, 0.505, 0.0, 1.0, 0.059
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 15, 0.644, 0.0, 1.0, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 16, 0.792, 0.0, 0.347, 0.04
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 17, 0.386, 0.001, 0.07, 0.158
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 18, 0.802, 0.0, 0.114, 0.069
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 19, 0.861, 0.023, 0.465, 0.208
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 20, 0.366, 0.009, 0.435, 0.069
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 21, 0.832, 0.0, 1.0, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 22, 0.158, 0.0, 0.368, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 23, 0.406, 0.061, 1.0, 0.139
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 24, 0.129, 0.0, 0.16, 0.05
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 25, 0.634, 0.003, 0.368, 0.089
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 26, 0.356, 0.037, 1.0, 0.05
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 27, 0.723, 0.004, 0.385, 0.158
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 28, 0.069, 0.002, 0.253, 0.04
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 29, 0.485, 0.022, 0.275, 0.168
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 30, 0.772, 0.0, 1.0, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 31, 0.455, 0.002, 1.0, 0.059
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 32, 0.139, 0.022, 0.068, 0.04
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 33, 0.04, 0.244, 0.029, 0.376
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 34, 0.881, 0.015, 0.371, 0.059
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 35, 0.554, 0.002, 1.0, 0.04
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 36, 0.733, 0.005, 0.486, 0.168
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 37, 0.119, 0.0, 0.701, 0.119
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 38, 0.248, 0.004, 1.0, 0.089
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 50, 39, 0.327, 0.0, 1.0, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 0, 0.426, 0.0, 0.312, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 1, 0.327, 0.0, 0.542, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 2, 0.238, 0.0, 0.175, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 3, 0.337, 0.0, 0.259, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 4, 0.04, 0.0, 0.302, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 5, 0.416, 0.0, 0.256, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 6, 0.406, 0.0, 0.083, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 7, 0.564, 0.0, 0.814, 0.04
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 8, 0.287, 0.0, 0.491, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 9, 0.624, 0.0, 0.045, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 10, 0.416, 0.001, 0.387, 0.04
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 11, 0.198, 0.003, 0.422, 0.099
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 12, 0.406, 0.0, 0.172, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 13, 0.069, 0.0, 0.038, 0.02
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 14, 0.99, 0.0, 0.804, 0.109
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 15, 0.525, 0.0, 0.317, 0.119
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 16, 0.723, 0.0, 0.166, 0.01
1, sqrt, 100, soft, additive, 1, 0, False, [None,1], 100, 17, 0.525, 0.0, 0.124, 0.04
