Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 5, 0.109, 0.0, 0.0, 0.901
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 6, 0.109, 0.0, 0.0, 0.861
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 7, 0.01, 0.0, 0.0, 0.861
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 8, 0.079, 0.0, 0.0, 0.792
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 9, 0.03, 0.0, 0.0, 0.406
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 10, 0.03, 0.0, 0.0, 0.564
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 11, 0.01, 0.0, 0.0, 0.98
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 12, 0.059, 0.0, 0.0, 0.673
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 13, 0.109, 0.0, 0.0, 0.911
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 14, 0.238, 0.0, 0.0, 0.733
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 15, 0.079, 0.0, 0.0, 0.584
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 16, 0.109, 0.0, 0.0, 0.535
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 17, 0.02, 0.0, 0.0, 0.792
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 18, 0.069, 0.0, 0.0, 0.05
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 19, 0.05, 0.0, 0.0, 0.366
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 20, 0.277, 0.0, 0.0, 0.178
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 21, 0.02, 0.0, 0.0, 0.733
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 22, 0.109, 0.0, 0.0, 0.782
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 23, 0.059, 0.0, 0.0, 0.277
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 24, 0.119, 0.0, 0.0, 0.772
