Params, Params, Params, Params, XY, XY, YX, YX
params_index, intervention_targets, n_samples, rep, X1, X2, X1, X2
1, [None,1], 300, 7, 0.02, 0.0, 1.0, 0.01
1, [None,1], 300, 8, 0.079, 0.0, 0.388, 0.01
1, [None,1], 300, 9, 0.911, 0.0, 0.491, 0.01
1, [None,1], 300, 10, 0.574, 0.056, 0.262, 0.436
1, [None,1], 300, 11, 0.703, 0.0, 0.92, 0.02
1, [None,1], 300, 12, 0.98, 0.0, 0.552, 0.01
1, [None,1], 300, 13, 0.297, 0.0, 0.654, 0.01
1, [None,1], 300, 14, 0.267, 0.083, 1.0, 0.248
1, [None,1], 300, 15, 0.96, 0.0, 1.0, 0.01
1, [None,1], 300, 16, 0.238, 0.0, 0.955, 0.02
1, [None,1], 300, 17, 0.644, 0.0, 1.0, 0.01
1, [None,1], 300, 18, 0.089, 0.0, 0.137, 0.01
1, [None,1], 300, 19, 0.089, 0.0, 0.938, 0.01
2, [None,None], 50, 0, 0.139, 0.663, 0.474, 0.198
2, [None,None], 50, 1, 0.634, 0.258, 1.0, 0.465
2, [None,None], 50, 2, 0.218, 0.067, 0.611, 0.04
2, [None,None], 50, 3, 0.347, 0.345, 0.335, 0.574
2, [None,None], 50, 4, 0.376, 1.0, 0.09, 1.0
2, [None,None], 50, 5, 0.574, 1.0, 1.0, 0.129
2, [None,None], 50, 6, 0.762, 1.0, 0.67, 0.802
2, [None,None], 50, 7, 0.515, 0.121, 0.258, 0.574
2, [None,None], 50, 8, 0.455, 0.218, 0.596, 0.446
2, [None,None], 50, 9, 0.545, 0.409, 0.924, 0.881
2, [None,None], 50, 10, 0.693, 1.0, 0.516, 0.861
2, [None,None], 50, 11, 0.634, 0.498, 0.045, 0.822
2, [None,None], 50, 12, 0.96, 0.27, 0.403, 0.515
2, [None,None], 50, 13, 0.733, 0.239, 0.259, 0.842
2, [None,None], 50, 14, 0.04, 0.153, 0.573, 0.277
2, [None,None], 50, 15, 0.772, 0.119, 1.0, 0.317
2, [None,None], 50, 16, 0.465, 0.798, 0.214, 0.495
2, [None,None], 50, 17, 0.465, 0.513, 0.042, 0.772
2, [None,None], 50, 18, 0.653, 0.087, 0.13, 0.733
2, [None,None], 50, 19, 0.861, 0.165, 0.515, 0.188
2, [None,None], 100, 0, 0.307, 0.069, 0.092, 0.861
2, [None,None], 100, 1, 0.554, 0.148, 0.891, 0.921
2, [None,None], 100, 2, 0.653, 0.731, 0.289, 0.941
2, [None,None], 100, 3, 0.931, 1.0, 0.785, 0.95
2, [None,None], 100, 4, 0.455, 1.0, 1.0, 0.673
2, [None,None], 100, 5, 0.861, 0.129, 0.741, 0.505
2, [None,None], 100, 6, 0.238, 1.0, 0.365, 0.228
2, [None,None], 100, 7, 0.574, 0.497, 0.262, 0.832
2, [None,None], 100, 8, 0.644, 0.08, 0.011, 0.337
2, [None,None], 100, 9, 0.356, 0.334, 0.301, 0.218
2, [None,None], 100, 10, 0.802, 0.195, 0.658, 0.426
2, [None,None], 100, 11, 0.297, 0.03, 1.0, 0.089
2, [None,None], 100, 12, 0.426, 0.022, 0.106, 0.485
2, [None,None], 100, 13, 0.287, 1.0, 1.0, 0.713
2, [None,None], 100, 14, 0.653, 0.09, 1.0, 0.634
2, [None,None], 100, 15, 0.426, 1.0, 0.382, 0.446
2, [None,None], 100, 16, 0.099, 1.0, 1.0, 0.386
2, [None,None], 100, 17, 0.545, 1.0, 0.377, 0.396
2, [None,None], 100, 18, 0.634, 0.735, 1.0, 0.812
2, [None,None], 100, 19, 0.931, 0.38, 1.0, 0.01
2, [None,None], 200, 0, 0.505, 0.196, 0.238, 0.931
2, [None,None], 200, 1, 0.366, 0.414, 0.839, 0.129
2, [None,None], 200, 2, 0.921, 1.0, 0.618, 0.98
2, [None,None], 200, 3, 0.752, 0.083, 0.041, 0.554
2, [None,None], 200, 4, 0.03, 1.0, 0.667, 0.099
2, [None,None], 200, 5, 0.95, 1.0, 1.0, 0.98
2, [None,None], 200, 6, 0.02, 0.56, 0.181, 0.257
2, [None,None], 200, 7, 0.871, 0.353, 0.476, 0.921
2, [None,None], 200, 8, 0.188, 0.134, 0.288, 0.554
2, [None,None], 200, 9, 0.426, 0.107, 1.0, 0.376
2, [None,None], 200, 10, 0.178, 0.284, 0.753, 0.149
2, [None,None], 200, 11, 0.921, 0.082, 0.461, 0.257
2, [None,None], 200, 12, 0.782, 0.216, 0.196, 0.881
2, [None,None], 200, 13, 0.644, 0.513, 0.437, 0.495
2, [None,None], 200, 14, 0.911, 0.275, 1.0, 0.634
2, [None,None], 200, 15, 0.446, 0.185, 0.029, 0.653
2, [None,None], 200, 16, 0.04, 0.03, 0.024, 0.941
2, [None,None], 200, 17, 0.188, 0.485, 1.0, 0.04
2, [None,None], 200, 18, 0.851, 1.0, 1.0, 0.693
2, [None,None], 200, 19, 0.287, 0.564, 0.064, 0.208
2, [None,None], 300, 0, 0.842, 1.0, 0.502, 0.782
2, [None,None], 300, 1, 0.911, 0.087, 1.0, 0.535
2, [None,None], 300, 2, 0.881, 0.143, 1.0, 0.287
